First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Steve,Montgomery,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,9,5,0,,4.85,39%,4.12,47%,N/A,0.00,0%,64%,0.0,"Dec 19, 1990"
Alberto,Montes,The Promise,"5' 7""",135 lbs.,--,,4,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 31, 1994"
Nicco,Montano,,"5' 5""",135 lbs.,"65.0""",Southpaw,5,3,0,,5.60,41%,4.43,64%,N/A,2.25,54%,69%,0.4,"Dec 16, 1988"
Augusto,Montano,Dodger,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,0,,3.46,46%,2.66,56%,N/A,0.00,0%,66%,0.0,"Oct 25, 1984"
Erick,Montano,Perry,"6' 0""",170 lbs.,"73.0""",Orthodox,7,5,0,,2.79,44%,2.06,64%,N/A,2.29,36%,66%,0.0,"Nov 19, 1985"
Antonio,Monteiro,Junior Negao,--,145 lbs.,--,,17,4,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 02, 1995"
Andrew,Montanez,,--,185 lbs.,--,,9,12,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Darrell,Montague,Mongoose,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,0,,1.92,25%,5.38,52%,N/A,0.72,25%,33%,1.4,"Nov 03, 1987"
Hidetaka,Monma,,"6' 0""",168 lbs.,--,Orthodox,18,11,4,,1.67,25%,9.76,34%,N/A,0.00,0%,0%,0.0,"Oct 23, 1973"
Jeff,Monson,The Snowman,"5' 9""",247 lbs.,"74.0""",Orthodox,60,26,1,,0.97,30%,2.87,59%,N/A,1.06,12%,66%,0.7,"Jan 18, 1971"
Rudyard,Moncayo,,"5' 10""",195 lbs.,--,Orthodox,0,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Dan,Molina,,"5' 10""",216 lbs.,--,,13,9,0,,0.00,0%,5.58,60%,N/A,0.00,0%,0%,20.9,"Jun 14, 1984"
Ashkan,Mokhtarian,The Assassin,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,0,,1.95,43%,3.66,43%,N/A,0.54,16%,33%,0.0,"Sep 15, 1985"
Jeff,Molina,El Jefe,"5' 6""",125 lbs.,"69.0""",Orthodox,11,2,0,,7.25,48%,5.04,55%,N/A,0.00,0%,66%,0.0,"Jul 17, 1997"
Muhammad,Mokaev,The Punisher,"5' 7""",125 lbs.,"70.0""",Orthodox,13,0,0,,1.61,45%,1.35,57%,N/A,5.29,41%,25%,0.8,"Jul 30, 2000"
Suman,Mokhtarian,,"5' 8""",145 lbs.,"72.0""",Orthodox,8,5,0,,2.21,43%,6.85,48%,N/A,0.00,0%,0%,0.0,"Jun 13, 1992"
Thiago,Moises,,"5' 9""",155 lbs.,"70.0""",Orthodox,18,8,0,,2.39,40%,4.14,54%,N/A,1.47,35%,55%,1.3,"Mar 23, 1995"
Bronson,Mohika,,--,135 lbs.,--,,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Renato,Moicano,,"5' 11""",155 lbs.,"72.0""",Orthodox,19,5,1,,4.38,48%,3.68,60%,N/A,1.89,45%,72%,0.6,"May 21, 1989"
Bobby,Moffett,The Wolfman,"5' 10""",145 lbs.,"73.0""",Orthodox,13,5,0,,3.41,39%,3.15,61%,N/A,2.74,66%,66%,1.4,"Jun 01, 1990"
Nate,Mohr,,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,0,,3.79,41%,2.50,74%,N/A,0.45,50%,71%,0.0,"Mar 03, 1983"
,Mizuki,,"5' 3""",115 lbs.,"65.0""",Orthodox,15,6,0,,4.56,50%,5.62,48%,N/A,0.33,14%,85%,0.0,"Aug 19, 1994"
Roxanne,Modafferi,The Happy Warrior,"5' 7""",125 lbs.,"69.0""",Orthodox,25,21,0,,3.35,30%,5.70,51%,N/A,1.35,23%,30%,0.1,"Sep 24, 1982"
Tatsuya,Mizuno,,"6' 1""",205 lbs.,--,Southpaw,16,12,1,,2.25,37%,3.52,53%,N/A,1.19,25%,40%,3.6,"Jun 02, 1981"
Takeya,Mizugaki,,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,2,,3.37,37%,3.27,57%,N/A,1.46,57%,70%,0.1,"Dec 16, 1983"
Kazuyuki,Miyata,,"5' 8""",139 lbs.,--,Orthodox,15,9,0,,2.04,52%,1.82,63%,N/A,4.31,46%,68%,0.0,--
Jonathan,Mix,,"6' 0""",168 lbs.,--,,7,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 09, 1980"
Motoki,Miyazawa,,"5' 11""",168 lbs.,--,Southpaw,7,3,0,,1.23,28%,3.91,61%,N/A,0.00,0%,0%,0.0,--
Tomoya,Miyashita,,"5' 7""",139 lbs.,--,Southpaw,17,9,7,,1.67,65%,0.93,33%,N/A,4.00,80%,0%,2.0,--
Hiromitsu,Miura,,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,0,,2.12,34%,2.12,58%,N/A,2.23,50%,69%,0.6,"Sep 22, 1981"
Eiji,Mitsuoka,,"5' 7""",145 lbs.,--,Southpaw,18,9,2,,1.49,49%,2.26,45%,N/A,2.30,36%,20%,1.6,"Jan 01, 1976"
Roman,Mitichyan,,"5' 10""",170 lbs.,--,Orthodox,8,3,0,,0.26,16%,2.70,43%,N/A,1.93,100%,25%,1.9,"Sep 04, 1978"
Terrence,Mitchell,,"5' 10""",135 lbs.,"74.0""",Orthodox,14,4,0,,2.21,34%,8.85,41%,N/A,3.69,50%,0%,0.0,"Dec 30, 1989"
Maurice,Mitchell,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,3.80,55%,3.54,60%,N/A,0.00,0%,100%,0.0,"Jun 29, 1987"
Matt,Mitrione,,"6' 3""",265 lbs.,"82.0""",Switch,12,5,0,,3.55,50%,2.79,64%,N/A,0.00,0%,55%,0.7,"Jul 15, 1978"
Bryce,Mitchell,Thug Nasty,"5' 10""",145 lbs.,"70.0""",Southpaw,16,3,0,,2.30,58%,1.63,58%,N/A,3.45,41%,33%,1.6,"Oct 04, 1994"
Danny,Mitchell,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,19,9,1,,2.53,49%,2.53,52%,N/A,0.00,0%,100%,3.0,"Aug 08, 1986"
Brad,Mitchell,,"5' 11""",145 lbs.,--,,4,2,0,,1.15,33%,4.20,52%,N/A,0.00,0%,100%,1.9,"Oct 10, 1974"
David,Mitchell,Daudi,"6' 0""",170 lbs.,"75.0""",Orthodox,22,7,0,,1.74,32%,2.06,55%,N/A,0.66,50%,29%,2.0,"Oct 24, 1979"
Clay,Mitchell,,"6' 2""",185 lbs.,--,,1,2,0,,1.63,85%,0.00,0%,N/A,0.00,0%,100%,4.1,--
Felix Lee,Mitchell,,--,--,--,Orthodox,2,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Dokonjonosuke,Mishima,,"5' 7""",155 lbs.,--,Southpaw,21,7,2,,1.06,41%,1.22,52%,N/A,2.47,40%,25%,1.4,"Apr 19, 1972"
Damir,Mirenic,Wolf,"6' 0""",185 lbs.,--,Orthodox,9,4,0,,0.84,50%,9.86,35%,N/A,0.00,0%,0%,0.0,"Aug 02, 1974"
Kazuo,Misaki,Hitman,"5' 8""",183 lbs.,--,Orthodox,25,11,2,,2.85,40%,2.74,63%,N/A,0.72,38%,51%,0.6,"Apr 25, 1976"
Stipe,Miocic,,"6' 4""",240 lbs.,"80.0""",Orthodox,20,4,0,,4.82,53%,3.82,54%,N/A,1.86,34%,68%,0.0,"Aug 19, 1982"
Gabriel,Miranda,Fly,"5' 11""",145 lbs.,"71.0""",Orthodox,17,6,0,,3.52,51%,6.88,39%,N/A,4.80,40%,0%,2.4,"Mar 25, 1990"
Mario,Miranda,,"6' 3""",185 lbs.,"74.0""",Orthodox,14,7,0,,1.96,54%,2.46,36%,N/A,1.02,60%,54%,0.0,"Jul 12, 1979"
Vitor,Miranda,Lex Luthor,"6' 1""",185 lbs.,"77.0""",Orthodox,12,5,0,,2.98,45%,2.95,58%,N/A,0.95,55%,50%,0.2,"Mar 10, 1979"
Carlton,Minus,Clutch,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,0,,3.50,40%,4.97,50%,N/A,0.00,0%,58%,0.0,"Apr 26, 1993"
Juan,Miranda,,--,155 lbs.,--,,7,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Mike,Minniger,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Vitaly,Minakov,,"6' 2""",249 lbs.,--,,20,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 06, 1985"
Frank,Mir,,"6' 3""",264 lbs.,"79.0""",Southpaw,18,11,0,,2.18,47%,3.84,38%,N/A,2.02,40%,54%,2.0,"May 24, 1979"
Alberto,Mina,Soldier of God,"6' 0""",170 lbs.,"77.0""",Orthodox,13,1,0,,3.23,38%,3.70,47%,N/A,1.85,20%,50%,0.0,"May 02, 1982"
Darrick,Minner,,"5' 7""",145 lbs.,"69.0""",Orthodox,26,14,0,,2.63,65%,2.28,35%,N/A,2.40,72%,66%,2.7,"Apr 28, 1990"
Ikuhisa,Minowa,Minowaman,"5' 9""",181 lbs.,--,Orthodox,60,42,8,,0.88,40%,1.66,49%,N/A,1.82,41%,5%,1.9,"Jan 12, 1976"
Che,Mills,Beautiful,"6' 1""",170 lbs.,"76.0""",Orthodox,16,10,0,,2.08,52%,2.87,43%,N/A,1.18,66%,58%,0.0,"Sep 29, 1982"
Eddy,Millis,,"6' 1""",185 lbs.,--,,0,2,0,,0.00,0%,3.36,22%,N/A,0.00,0%,0%,7.2,--
Aaron,Miller,Blood Spiller,"5' 9""",145 lbs.,--,,14,10,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Juliana,Miller,Killer,"5' 7""",125 lbs.,"66.0""",Orthodox,4,3,0,,3.31,45%,4.75,32%,N/A,1.84,44%,0%,1.8,"May 07, 1996"
Adam,Milstead,The Prototype,"6' 3""",205 lbs.,"76.0""",Orthodox,8,4,0,,3.85,46%,4.79,43%,N/A,0.00,0%,64%,0.0,"Jul 03, 1987"
Mo,Miller,Moshow,"5' 8""",135 lbs.,"72.0""",Orthodox,6,0,0,,1.87,45%,1.33,60%,N/A,4.00,80%,0%,0.0,"Aug 10, 1992"
Henry,Miller,Sentoryu,"5' 7""",270 lbs.,--,Southpaw,6,16,0,,1.25,36%,2.16,54%,N/A,0.55,25%,60%,0.0,"Jul 16, 1969"
Micah,Miller,Maverick,"6' 0""",145 lbs.,--,Orthodox,20,8,0,,1.33,33%,2.15,54%,N/A,0.98,37%,21%,2.0,"Feb 14, 1987"
Jason,Miller,Mayhem,"6' 1""",185 lbs.,--,Orthodox,23,10,0,,1.83,43%,2.30,49%,N/A,1.31,28%,43%,1.3,"Dec 24, 1980"
Phillip,Miller,,"5' 11""",185 lbs.,--,Orthodox,16,0,0,,1.61,54%,1.93,50%,N/A,3.62,25%,100%,0.6,"Feb 20, 1979"
Dan,Miller,,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,0,,2.03,36%,3.06,49%,N/A,1.67,54%,47%,1.8,"Jun 30, 1981"
Cole,Miller,Magrinho,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,0,,3.00,33%,3.88,59%,N/A,0.60,36%,38%,1.8,"Apr 26, 1984"
Jim,Miller,A-10,"5' 8""",155 lbs.,"71.0""",Southpaw,37,18,0,,2.99,42%,3.50,56%,N/A,1.53,44%,47%,1.7,"Aug 30, 1983"
Pat,Miletich,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,29,7,2,,1.79,45%,1.66,63%,N/A,1.96,100%,54%,1.0,"Mar 09, 1968"
Gabriel,Miglioli,Biel,"5' 8""",170 lbs.,--,,9,9,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Curtis,Millender,Curtious,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,0,,3.86,46%,2.95,61%,N/A,0.43,100%,57%,0.0,"Dec 01, 1987"
Keith,Mielke,,"5' 8""",185 lbs.,--,,0,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Billy,Miles,The Kid,"5' 10""",170 lbs.,--,Orthodox,2,2,0,,0.00,0%,1.25,33%,N/A,0.00,0%,0%,0.0,"Apr 28, 1978"
Chris,Mierzwiak,,"6' 1""",185 lbs.,--,,5,3,0,,1.60,61%,1.73,48%,N/A,2.00,28%,0%,1.0,"Feb 14, 1988"
Kristof,Midoux,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,6,10,0,,0.70,43%,2.89,49%,N/A,0.00,0%,0%,0.0,"Jul 30, 1974"
Chris,Mickle,,"5' 9""",145 lbs.,--,Orthodox,30,21,2,,3.03,27%,9.70,48%,N/A,0.00,0%,0%,0.0,"Jul 10, 1983"
Zachary,Micklewright,,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,0,,5.56,53%,4.72,54%,N/A,0.70,12%,100%,0.0,"Aug 21, 1976"
Jonathan,Micallef,Jono,--,170 lbs.,--,,5,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 05, 1999"
David,Michaud,BullDawg,"5' 9""",155 lbs.,--,Orthodox,11,3,0,,3.25,43%,4.45,54%,N/A,2.53,58%,77%,0.7,"Nov 10, 1988"
Yaotzin,Meza,,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,0,,1.43,41%,1.62,64%,N/A,1.06,20%,18%,1.4,"Feb 04, 1981"
Guy,Mezger,,"6' 1""",200 lbs.,--,Orthodox,30,14,2,,2.30,32%,1.36,72%,N/A,0.39,50%,88%,0.0,"Jan 01, 1968"
Jeremiah,Metcalf,,"6' 1""",185 lbs.,--,Orthodox,13,7,0,,1.74,59%,0.27,60%,N/A,4.02,66%,100%,2.0,--
Jonathan,Meunier,District,"6' 3""",170 lbs.,--,Switch,8,1,0,,3.47,50%,1.43,69%,N/A,0.58,33%,58%,0.0,"Aug 04, 1987"
Adam,Meredith,,"6' 2""",170 lbs.,--,,5,3,0,,2.63,50%,2.11,55%,N/A,7.89,100%,100%,7.9,--
Joe,Merritt,,"6' 0""",170 lbs.,--,Orthodox,7,2,0,,1.53,58%,0.73,66%,N/A,0.00,0%,68%,0.0,"Mar 07, 1984"
Steve,Mensing,The Machine,"5' 11""",185 lbs.,--,Orthodox,9,13,2,,0.00,0%,9.51,42%,N/A,0.00,0%,0%,0.0,"Dec 06, 1977"
Buck,Meredith,,"6' 2""",185 lbs.,--,,3,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 17, 1982"
Dave,Menne,The Warrior,"5' 10""",170 lbs.,--,Orthodox,45,17,2,,1.84,44%,1.99,42%,N/A,0.46,50%,57%,2.5,"Jul 29, 1974"
Ivan,Menjivar,The Pride of El Salvador,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,0,,2.78,37%,2.76,65%,N/A,0.56,28%,38%,1.0,"May 30, 1982"
Alonzo,Menifield,Atomic,"6' 0""",205 lbs.,"76.0""",Orthodox,15,5,1,,3.77,54%,3.70,49%,N/A,0.63,33%,76%,0.2,"Oct 18, 1987"
Pietro,Menga,,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 15, 1988"
Mateus,Mendonca,Bocao,"5' 6""",125 lbs.,"71.0""",Orthodox,10,3,0,,1.66,40%,4.14,30%,N/A,2.54,27%,55%,0.4,"Jan 17, 1999"
Luis,Mendoza,,--,155 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Eddie,Mendez,,"5' 10""",185 lbs.,--,,8,3,1,,1.71,33%,3.43,11%,N/A,0.00,0%,0%,0.0,"Jan 16, 1984"
Augusto,Mendes,Tanquinho,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,0,,2.42,34%,3.91,56%,N/A,1.75,33%,80%,0.0,"Mar 03, 1983"
Antonio,Mendes,Samurai,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0,,1.34,47%,6.85,22%,N/A,2.51,50%,100%,0.0,"Apr 19, 1981"
Chad,Mendes,Money,"5' 6""",145 lbs.,"66.0""",Orthodox,18,5,0,,2.78,49%,2.35,67%,N/A,4.13,55%,100%,0.3,"May 01, 1985"
Marcelo,Mello,,"5' 7""",170 lbs.,--,Southpaw,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Fabio,Mello,,"5' 5""",155 lbs.,--,Southpaw,11,8,0,,0.86,35%,3.94,50%,N/A,0.00,0%,0%,0.0,--
Nair,Melikyan,Ahalkalakski,"5' 6""",155 lbs.,--,,11,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 08, 1997"
Brandon,Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25,25,0,,0.84,26%,0.56,63%,N/A,0.00,0%,25%,0.0,"Mar 24, 1983"
Bryce,Mejia,,"6' 1""",170 lbs.,--,,3,1,0,,3.49,62%,6.98,50%,N/A,0.00,0%,0%,0.0,--
Brian,Melancon,,"5' 8""",170 lbs.,--,Orthodox,7,3,0,,4.18,49%,3.64,64%,N/A,2.02,100%,66%,0.0,"May 28, 1982"
Gilbert,Melendez,El Nino,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0,,3.44,33%,2.53,63%,N/A,1.64,41%,71%,0.2,"Apr 12, 1982"
Vanessa,Melo,,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0,,3.48,30%,6.13,59%,N/A,0.00,0%,71%,0.0,"Mar 27, 1988"
Jordan,Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0,,3.35,44%,2.55,69%,N/A,1.56,58%,66%,0.2,"Oct 10, 1989"
Miika,Mehmet,,--,205 lbs.,--,Orthodox,3,5,0,,0.33,12%,7.29,24%,N/A,0.00,0%,0%,0.0,--
Derrick,Mehmen,Caveman,"6' 4""",205 lbs.,--,,19,9,0,,1.93,14%,4.53,48%,N/A,1.00,16%,0%,0.0,"May 30, 1985"
Casey,Ryan,,--,185 lbs.,--,,7,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Frank,Megallon,,"5' 10""",185 lbs.,--,Southpaw,2,3,0,,1.14,21%,5.32,54%,N/A,0.00,0%,0%,0.0,--
Nursulton,Ruziboev,Black,"6' 5""",170 lbs.,"76.0""",Orthodox,34,9,2,,2.50,43%,4.60,49%,N/A,0.77,100%,0%,0.0,"Nov 19, 1993"
Bas,Rutten,El Guapo,"6' 1""",205 lbs.,--,Orthodox,28,4,1,,5.59,61%,2.06,79%,N/A,0.00,0%,0%,0.0,"Feb 24, 1965"
Mike,Russow,,"6' 1""",255 lbs.,"73.0""",Orthodox,15,3,0,,1.55,47%,2.90,59%,N/A,4.66,43%,0%,0.7,"Sep 11, 1976"
Montserrat Conejo,Ruiz,,"5' 0""",115 lbs.,"61.0""",Southpaw,10,4,0,,0.79,27%,4.96,37%,N/A,2.05,83%,33%,0.8,"Feb 03, 1993"
Sanford Alton,Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0,,0.71,42%,4.47,38%,N/A,7.06,25%,0%,0.0,"Apr 05, 1994"
Emil,Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1,,2.52,39%,2.53,38%,N/A,0.25,33%,47%,1.0,"Aug 20, 1988"
Gerald,Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,37,17,0,,3.13,45%,3.47,53%,N/A,2.14,36%,34%,1.6,"Dec 18, 1987"
Jose Daniel,Medina,Chicho,"6' 0""",185 lbs.,"74.0""",Orthodox,11,4,0,,1.87,33%,4.93,48%,N/A,0.50,33%,31%,0.0,"May 17, 1991"
Jason,Medina,,"5' 9""",180 lbs.,--,,21,15,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Todd,Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11,9,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
MarQuel,Mederos,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,1,0,,4.39,45%,3.29,63%,N/A,0.00,0%,90%,0.0,"Nov 30, 1996"
Uros,Medic,The Doctor,"6' 1""",170 lbs.,"71.0""",Southpaw,10,2,0,,5.51,60%,3.18,58%,N/A,0.38,50%,55%,0.0,"Apr 25, 1993"
Paul,Ruiz,,"5' 6""",135 lbs.,--,,7,4,0,,1.40,33%,1.40,75%,N/A,0.00,0%,100%,20.9,"Jun 23, 1987"
Anthony,Ruiz,El Toro,"6' 2""",205 lbs.,--,Orthodox,33,22,0,,2.56,64%,1.67,28%,N/A,1.43,31%,21%,0.0,"Nov 03, 1977"
Mauricio,Ruffy,,"5' 11""",155 lbs.,"75.0""",Orthodox,10,1,0,,4.88,59%,3.80,59%,N/A,0.00,0%,100%,0.0,"Jun 17, 1996"
Kaline,Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0,,2.06,70%,0.29,83%,N/A,4.41,100%,0%,4.4,--
Rodolfo,Rubio Perez,Fito,"5' 5""",145 lbs.,--,Orthodox,10,16,1,,1.13,36%,1.00,62%,N/A,2.00,33%,33%,0.0,"Jan 29, 1987"
Eddie,Ruiz,,"5' 7""",155 lbs.,--,Orthodox,1,1,0,,0.20,25%,1.40,47%,N/A,2.00,12%,0%,0.0,"Jun 10, 1967"
Rodrigo,Ruas,,"5' 10""",185 lbs.,--,Orthodox,4,5,1,,1.28,35%,7.00,41%,N/A,0.00,0%,0%,0.0,"Oct 06, 1977"
Gabe,Ruediger,Godzilla,"5' 10""",155 lbs.,--,Orthodox,18,8,0,,1.70,31%,5.16,41%,N/A,2.04,11%,28%,0.0,"Aug 29, 1977"
Marco,Ruas,King of the Streets,"6' 1""",210 lbs.,--,Orthodox,9,4,2,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 23, 1961"
Pat,Pytlik,,"6' 0""",170 lbs.,"73.0""",Orthodox,9,2,0,,3.12,56%,4.56,22%,N/A,0.00,0%,33%,0.0,"Apr 24, 1989"
Anistavio,Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19,10,0,,3.64,44%,5.00,47%,N/A,0.00,0%,0%,0.0,"May 01, 1988"
Murilo,Rua,Ninja,"5' 11""",185 lbs.,--,Orthodox,20,13,1,,2.48,45%,1.85,53%,N/A,1.97,45%,37%,1.2,"May 22, 1980"
Charles,McTorry,,--,--,--,,3,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Yancy,Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15,8,0,,4.36,37%,5.67,47%,N/A,0.33,50%,73%,0.7,"Sep 07, 1987"
Mauricio,Rua,Shogun,"6' 1""",205 lbs.,"76.0""",Orthodox,27,14,1,,3.57,50%,2.79,54%,N/A,2.01,48%,49%,0.7,"Nov 25, 1981"
Daniel,McWilliams,The Animal,"6' 1""",185 lbs.,--,,15,37,0,,3.36,77%,0.00,0%,N/A,0.00,0%,100%,21.6,--
Tim,Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,33,16,1,,5.08,49%,3.64,60%,N/A,1.16,40%,65%,0.2,"Feb 20, 1984"
Mike,Pyle,Quicksand,"6' 0""",170 lbs.,"74.0""",Orthodox,27,14,1,,2.74,45%,2.84,60%,N/A,1.80,35%,70%,1.5,"Sep 18, 1975"
James,McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0,,3.94,55%,4.33,42%,N/A,0.52,33%,100%,1.1,"Oct 24, 1980"
Tommy,McMillen,Gun,--,145 lbs.,--,,6,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 15, 1997"
Jason,McLean,,"5' 5""",145 lbs.,--,,6,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Sara,McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,6,0,,2.26,46%,1.92,47%,N/A,4.38,65%,50%,0.5,"Sep 24, 1980"
Garreth,McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0,,3.56,54%,2.94,45%,N/A,1.15,22%,34%,0.9,"Sep 01, 1982"
Brandon,Royval,Raw Dawg,"5' 9""",125 lbs.,"68.0""",Southpaw,16,7,0,,4.33,36%,3.42,46%,N/A,0.47,60%,40%,1.1,"Aug 16, 1992"
Jairzinho,Rozenstruik,Bigi Boy,"6' 2""",242 lbs.,"78.0""",Orthodox,15,5,0,,3.75,49%,2.74,51%,N/A,0.00,0%,75%,0.0,"Mar 17, 1988"
Kain,Royer,,--,185 lbs.,--,,2,2,0,,0.00,0%,1.63,14%,N/A,0.00,0%,0%,4.1,--
Cam,Rowston,Battle Giraffe,"6' 2""",185 lbs.,"78.0""",Orthodox,8,3,0,,2.13,49%,1.87,47%,N/A,0.00,0%,28%,1.0,"Jan 19, 1995"
Brad,Royster,,--,135 lbs.,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Phil,Rowe,The Fresh Prince,"6' 3""",170 lbs.,"80.0""",Orthodox,10,5,0,,3.65,49%,4.34,55%,N/A,0.70,36%,56%,0.3,"Jul 18, 1990"
Roberta,Rovel,Crusher,"5' 8""",145 lbs.,--,,4,1,0,,0.87,46%,3.00,26%,N/A,0.00,0%,100%,0.0,--
Ray,Routh,,"5' 8""",185 lbs.,--,Orthodox,2,1,0,,0.54,21%,3.22,28%,N/A,2.69,33%,0%,0.0,--
CM,Punk,,"6' 1""",170 lbs.,"73.0""",Orthodox,0,1,0,,1.10,23%,4.87,40%,N/A,0.87,11%,0%,0.0,"Oct 26, 1978"
Khalil,Rountree Jr.,,"6' 1""",205 lbs.,"76.0""",Southpaw,14,5,0,,3.84,39%,4.18,50%,N/A,0.00,0%,58%,0.1,"Feb 26, 1990"
Ronda,Rousey,Rowdy,"5' 7""",135 lbs.,"66.0""",Orthodox,12,2,0,,4.17,52%,4.14,44%,N/A,6.26,68%,50%,4.8,"Feb 01, 1987"
Joe,Pyfer,Bodybagz,"6' 2""",185 lbs.,"75.0""",Orthodox,13,3,0,,3.72,41%,3.48,51%,N/A,1.45,41%,50%,0.9,"Sep 17, 1996"
Andrey,Pulyaev,,"6' 4""",185 lbs.,"78.0""",Southpaw,9,2,0,,6.53,68%,3.00,47%,N/A,1.00,50%,80%,0.0,"Sep 10, 1997"
Josh,Pulsifer,The Platypus,"5' 10""",145 lbs.,--,,17,8,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 16, 1983"
Juan Manuel,Puig,Fenix,"5' 9""",145 lbs.,--,Orthodox,11,4,0,,4.91,23%,7.17,51%,N/A,0.00,0%,0%,0.0,"Apr 23, 1989"
Hugh,Pulley,,"6' 0""",155 lbs.,--,,6,3,0,,4.47,63%,3.27,57%,N/A,4.00,66%,69%,0.0,--
Bubba,Pugh,,"5' 10""",185 lbs.,--,,3,3,0,,2.87,67%,2.60,23%,N/A,4.00,57%,80%,0.0,--
Jens,Pulver,Little Evil,"5' 7""",145 lbs.,"70.0""",Southpaw,27,19,1,,2.12,37%,3.13,56%,N/A,0.22,33%,63%,0.3,"Dec 06, 1974"
